id,employee_id,month,year,appraisal_id,grade,created_at,updated_at
17,10,February,2024,1,1,2024-09-12 09:16:07,2024-09-12 09:16:07
18,10,February,2024,2,1,2024-09-12 09:16:07,2024-09-12 09:16:07
19,10,February,2024,3,1,2024-09-12 09:16:07,2024-09-12 09:16:07
20,10,February,2024,4,1,2024-09-12 09:16:07,2024-09-12 09:16:07
29,10,January,2024,1,67,2024-09-12 09:46:51,2024-09-12 09:46:51
30,10,January,2024,2,3,2024-09-12 09:46:51,2024-09-12 09:46:51
31,10,January,2024,3,23,2024-09-12 09:46:51,2024-09-12 09:46:51
32,10,January,2024,4,56,2024-09-12 09:46:51,2024-09-12 09:46:51
33,13,January,2024,1,5,2024-09-12 09:49:26,2024-09-12 09:49:26
34,13,January,2024,2,5,2024-09-12 09:49:26,2024-09-12 09:49:26
35,13,January,2024,3,5,2024-09-12 09:49:26,2024-09-12 09:49:26
36,13,January,2024,4,5,2024-09-12 09:49:26,2024-09-12 09:49:26
37,13,January,2024,1,5,2024-09-12 09:50:43,2024-09-12 09:50:43
38,13,January,2024,2,5,2024-09-12 09:50:43,2024-09-12 09:50:43
39,13,January,2024,3,5,2024-09-12 09:50:43,2024-09-12 09:50:43
40,13,January,2024,4,5,2024-09-12 09:50:43,2024-09-12 09:50:43
41,10,September,2024,1,78,2024-09-13 01:40:43,2024-09-16 03:03:00
42,10,September,2024,2,79,2024-09-13 01:40:43,2024-09-16 03:03:00
43,10,September,2024,3,76,2024-09-13 01:40:43,2024-09-16 03:41:59
44,10,September,2024,4,66,2024-09-13 01:40:43,2024-09-13 01:40:43
